aid,tid,capacity,role,charid,impid,voice,epid,sid
Kate McKinnon,202104101,cast,Joanne,,,FALSE,20210410,46
Alex Moffat,202104101,cast,Craig Matthew Yorgensen,,,FALSE,20210410,46
Ego Nwodim,202104101,cast,anchor,,,FALSE,20210410,46
Chris Redd,202104101,cast,Calvin,,,FALSE,20210410,46
Kenan Thompson,202104101,cast,anchor,,,FALSE,20210410,46
Carey Mulligan,202104102,host,,,,FALSE,20210410,46
Marcus Mumford,202104102,cameo,,,,FALSE,20210410,46
Carey Mulligan,202104103,host,Sandra,,,FALSE,20210410,46
Aidy Bryant,202104103,cast,Rebecca,1098.0,,FALSE,20210410,46
Steve Higgins,202104103,cast,announcer,,,TRUE,20210410,46
Chris Redd,202104103,cast,William,,,FALSE,20210410,46
Kenan Thompson,202104103,cast,Elliott Pants,1087.0,,FALSE,20210410,46
Carey Mulligan,202104104,host,mother,,,FALSE,20210410,46
Aidy Bryant,202104104,cast,teacher,,,FALSE,20210410,46
Mikey Day,202104104,cast,father,,,FALSE,20210410,46
Heidi Gardner,202104104,cast,announcer,,,TRUE,20210410,46
Lauren Holt,202104104,cast,mother,,,FALSE,20210410,46
Kenan Thompson,202104104,cast,Herman,,,FALSE,20210410,46
Carey Mulligan,202104105,host,Chrissy,,,FALSE,20210410,46
Aidy Bryant,202104105,cast,Jason,,,FALSE,20210410,46
Kate McKinnon,202104105,cast,Josh,,,FALSE,20210410,46
Carey Mulligan,202104106,host,Sally,,,FALSE,20210410,46
Kid Cudi,202104106,music,,,,FALSE,20210410,46
Timothee Chalamet,202104106,filmed,,,,FALSE,20210410,46
Aidy Bryant,202104106,cast,grandma,,,FALSE,20210410,46
Pete Davidson,202104106,cast,,,,FALSE,20210410,46
Chloe Fineman,202104106,cast,girl,,,FALSE,20210410,46
Chris Redd,202104106,cast,,,,FALSE,20210410,46
Kid Cudi,202104107,music,,,,FALSE,20210410,46
Darrell Hammond,202104108,cast,announcer,,,TRUE,20210410,46
Colin Jost,202104108,cast,,,,FALSE,20210410,46
Michael Che,202104108,cast,,,,FALSE,20210410,46
Chris Redd,202104108,cast,Barack Obama,,4142.0,FALSE,20210410,46
Beck Bennett,202104108,cast,Bruce Springsteen,,4143.0,FALSE,20210410,46
Punkie Johnson,202104108,cast,Pineapple Penelope Peters,,,FALSE,20210410,46
Bowen Yang,202104108,cast,Iceberg,,,FALSE,20210410,46
Carey Mulligan,2021041010,host,McKenna McLord Davies,,,FALSE,20210410,46
Beck Bennett,2021041010,cast,captain,,,FALSE,20210410,46
Mikey Day,2021041010,cast,Zachary,,,FALSE,20210410,46
Chloe Fineman,2021041010,cast,crew member,,,FALSE,20210410,46
Steve Higgins,2021041010,cast,announcer,,,TRUE,20210410,46
Kate McKinnon,2021041010,cast,corporal,,,FALSE,20210410,46
Alex Moffat,2021041010,cast,crew member,,,FALSE,20210410,46
Ego Nwodim,2021041010,cast,crew member,,,FALSE,20210410,46
Bowen Yang,2021041010,cast,crew member,,,FALSE,20210410,46
Carey Mulligan,2021041011,host,woman,,,FALSE,20210410,46
Beck Bennett,2021041011,cast,husband,,,FALSE,20210410,46
Heidi Gardner,2021041011,cast,woman,,,FALSE,20210410,46
Kate McKinnon,2021041011,cast,Beverly,,,FALSE,20210410,46
Alex Moffat,2021041011,cast,doctor,,,FALSE,20210410,46
Carey Mulligan,2021041012,host,Mary Pembrook,,,FALSE,20210410,46
Beck Bennett,2021041012,cast,narrator,,,TRUE,20210410,46
Mikey Day,2021041012,cast,Bertie Pembrook,,,FALSE,20210410,46
Steve Higgins,2021041012,cast,announcer,,,TRUE,20210410,46
Kid Cudi,2021041013,music,,,,FALSE,20210410,46
Carey Mulligan,2021041014,host,Janey,,,FALSE,20210410,46
