Non-Counted Role Played,Count #
Larry David,Bernie Sanders,41
Bill Corsair,pianist,41
Darrell Hammond,Bill Clinton,41
Kate McKinnon,Hillary Clinton,41
Fred Armisen,David Paul,41
Pete Davidson,Jordan,41
Kyle Mooney,Donny Grande,41
Cecily Strong,Harriet Walls,41
Fred Armisen,Osama bin Laden,41
Andy Samberg,Conner4Real,41
Beck Bennett,Uncle Sam,41
Jay Pharoah,Barack Obama,41
Kenan Thompson,guitarist,41
Fred Armisen,Regine,41
Jason Sudeikis,Michael,41
Fred Armisen,Mr. Bunting,41
Beck Bennett,Mr. Kellogg,41
Pete Davidson,Thomas Dalton,41
Kyle Mooney,Mr. Rooney,41
Bobby Moynihan,principal,41
Maya Rudolph,Dilma Rousseff,41
Kenan Thompson,Willie,41
Fred Armisen,Dean,41
Vanessa Bayer,computer,41
Beck Bennett,Donner,41
Cecily Strong,Willow,41
Larry David,parent,41
Vanessa Bayer,theatre parent,41
Beck Bennett,theatre student,41
Aidy Bryant,theatre student,41
Taran Killam,theatre student,41
Kate McKinnon,theatre student,41
Kyle Mooney,theatre student,41
Kenan Thompson,theatre parent,41
Pete Davidson,audience member,41
Sasheer Zamata,emcee,41
Vanessa Bayer,Ivanka Trump,41
Darrell Hammond,Donald Trump,41
Bobby Moynihan,Chris Christie,41
Jay Pharoah,Ben Carson,41
Drake,Malcolm,41
Vanessa Bayer,Jean Ann Robertson,41
Beck Bennett,Dale Robertson,41
Jay Pharoah,D'Wan,41
Drake,Akbar Gbaja-Biamila,41
Beck Bennett,Matt Iseman,41
Bobby Moynihan,Jeff Metcalf,41
Drake,Dennis Walls,41
Leslie Jones,Charlize,41
Kate McKinnon,Cookie,41
Kyle Mooney,Ronald,41
Cecily Strong,Melissa Ann,41
Drake,William,41
Beck Bennett,Richard Patterson,41
Taran Killam,Paul Ryan,41
Kate McKinnon,Olya Povlatsky,41
Drake,Jared,41
Steve Higgins,"Johnny, announcer",41
Jay Pharoah,Amir,41
Kenan Thompson,Darnell Hayes,41
Sasheer Zamata,Keeley,41
Drake,Shane Musume,41
Taran Killam,Future Shane,41
Kyle Mooney,Robbie,41
Dana Carvey,Church Lady,41
Vanessa Bayer,Ivanka Trump,41
Darrell Hammond,Donald Trump,41
Taran Killam,Ted Cruz,41
Kate McKinnon,model,41
Jon Rudnitsky,demon,41
Cecily Strong,Melania Trump,41
Aidy Bryant,Dr. Rhodes,41
Kate McKinnon,Colleen Rafferty,41
Bobby Moynihan,Dr. Christiansen,41
Cecily Strong,Sharon,41
Leslie Jones,Claire,41
Kate McKinnon,Heather,41
Vanessa Bayer,Laura Parsons,41
Brie Larson,visitor,41
Beck Bennett,Eddard,41
Pete Davidson,Jon Snow,41
Taran Killam,Davos,41
Kate McKinnon,Melisandre,41
Bobby Moynihan,Tormund,41
Cecily Strong,visitor,41
Kenan Thompson,knight,41
Brie Larson,Heidi Cruz,41
Taran Killam,Mark,41
Cecily Strong,Dana,41
Kenan Thompson,Crichard,41
Brie Larson,C.C. Toxic,41
Beck Bennett,Scott Thurman,41
Kyle Mooney,Chris Fitzpatrick,41
Brie Larson,Lesley Gore,41
Beck Bennett,Bing Crosby,41
Aidy Bryant,Ethel Merman,41
Taran Killam,Roy Orbison,41
Kate McKinnon,Ginger Rogers,41
Kyle Mooney,Fred Astaire,41
Jay Pharoah,Tupac Shakur,41
Kenan Thompson,Paul Robeson,41
Sasheer Zamata,Eartha Kitt,41
Julia Louis-Dreyfus,Elaine Benes,41
Larry David,Bernie Sanders,41
Vanessa Bayer,Rachel Green,41
Beck Bennett,Wolf Blitzer,41
Kate McKinnon,Hillary Clinton,41
Kenan Thompson,Errol Louis,41
Beck Bennett,coach,41
Julia Louis-Dreyfus,Gabrielle Bologna,41
Nick Jonas,Antony Marcos Prince Mortadella,41
Vanessa Bayer,Drizabella,41
Aidy Bryant,Valencia Fountain Totarello,41
Kate McKinnon,Dina Bologna Totarello,41
Cecily Strong,Audrina,41
Sasheer Zamata,Tatiana,41
Julia Louis-Dreyfus,Ms. Handler,41
Nick Jonas,Toby,41
Pete Davidson,Chad,41
Julia Louis-Dreyfus,Marla Bartlet,41
Taran Killam,actor,41
Kate McKinnon,actress,41
Kenan Thompson,Reese De'What,41
Kenan Thompson,Charles Barkley,41
Jay Pharoah,Shaquille O'Neal,41
Aidy Bryant,Animal Annie,41
Cecily Strong,Heather,41
Julia Louis-Dreyfus,Catherine Meeks,41
Vanessa Bayer,Jessica,41
Aidy Bryant,vagrant,41
Leslie Jones,manager,41
Taran Killam,Donald,41
Kate McKinnon,assistant manager,41
Bobby Moynihan,Kevin,41
Cecily Strong,assistant manager,41
Kenan Thompson,security guard,41
Sasheer Zamata,Deborah,41
Julia Louis-Dreyfus,The Barbara,41
Vanessa Bayer,Paige,41
Beck Bennett,Brent,41
Taran Killam,Trevor,41
Kate McKinnon,One Beth,41
Kyle Mooney,Max,41
Vanessa Bayer,Beth Walsh,41
Kyle Mooney,Schmuel,41
Bobby Moynihan,governor,41
Cecily Strong,aide,41
Kenan Thompson,judge,41
Kate McKinnon,Hillary Clinton,41
Kenan Thompson,repairman,41
Taran Killam,Ron,41
Jon Rudnitsky,host,41
Al Sharpton,Charles Richards,41
Kenan Thompson,Al Sharpton,41
Sasheer Zamata,Christie Jacobs,41
Russell Crowe,hologram,41
Vanessa Bayer,visitor,41
Beck Bennett,visitor,41
Aidy Bryant,visitor,41
Taran Killam,visitor,41
Kyle Mooney,visitor,41
Bobby Moynihan,Todd,41
Jon Rudnitsky,guide,41
Cecily Strong,Dana,41
Kenan Thompson,visitor,41
Sasheer Zamata,guide,41
Russell Crowe,Benedict,41
Beck Bennett,Todd,41
Pete Davidson,Jason,41
Cecily Strong,Lisa G.,41
Kenan Thompson,Emerald Mike Biscayne,41
Kate McKinnon,Deenie,41
Kyle Mooney,Bruce Chandling,41
Russell Crowe,Terry,41
Vanessa Bayer,Denise,41
Beck Bennett,host,41
