Episode #,Season #, IMDb Rating
4,41,489
10,39,413
21,35,343
3,40,284
1,40,273
16,38,273
1,1,265
10,37,236
22,36,230
1,39,212
13,38,211
9,32,208
6,38,195
2,38,191
21,34,173
2,37,170
2,35,170
7,1,169
2,1,158
18,35,155
3,37,143
4,36,143
16,35,139
16,32,137
20,21,137
17,32,131
3,1,129
8,34,123
2,34,121
1,34,118
6,33,117
13,31,110
5,1,109
10,32,99
4,32,99
1,32,98
8,1,97
7,31,85
18,3,84
14,1,84
9,1,84
11,1,80
19,1,74
16,1,74
12,1,74
15,1,69
15,2,63
23,1,63
6,2,61
5,2,61
1,2,61
24,1,61
22,1,61
4,2,56
2,2,55
12,4,53
3,4,53
10,3,53
16,2,53
17,2,51
12,2,50
18,2,49
11,2,49
12,3,46
4,3,46
13,2,46
7,2,46
2,3,45
22,2,45
9,4,43
2,4,43
23,2,43
20,2,43
8,3,41
6,3,41
14,2,41
14,4,38
10,4,38
17,3,38
14,3,38
20,3,37
13,5,36
10,5,36
19,3,36
7,3,36
19,5,34
6,5,34
3,5,34
19,4,34
13,4,33
4,6,32
16,5,32
11,8,31
11,6,31
6,6,31
20,5,31
14,5,31
9,5,31
5,5,31
3,6,30
